"Basin","Basin_ID","area","gauging_code","region"
"Navaluenga",1,699307071.77796,3231,"IMP"
"Matallana",2,252264276.368042,3049,"IMP"
"Villarejo de Montalban",3,136208984.773735,3211,"IMP"
"Peralejo de las Truchas",4,408557741.152055,3001,"CRB"
"Priego Escabas",5,329242825.514216,3045,"CRB"
"Santa Maria del Val",6,117788153.013134,3040,"CRB"
"Jabalera",7,85160052.1820714,3249,"DTH"
"Huete",8,359426519.784694,3172,"DTH"
"Torote",9,254668167.902771,3193,"DTH"
"La Pueblanueva",10,222350682.270029,3251,"DTH"
"Ventosa",11,942430989.603188,3030,"DTL"
"La Peraleja",12,260792689.342038,3173,"DTL"
"Villasequilla de Yepes",13,1320768741.8163,3164,"DTL"
"Valverde de los Arroyos",14,279321561.173671,3165,"MIX"
"Malpica",15,412116310.969973,3212,"MIX"
"Taravillas",16,184273310.480488,3268,"MIX"
"Romanones",17,319208604.143604,3237,"MIX"
"Priego Trabraque",18,389171301.274957,3186,"MIX"
"Bujalaro",19,1027910941.68652,3060,"MIX"
