"ID","NAME","LAT","LONG","ELEVATION","Basin_ID","Basin"
7603,"7603_PCP",40.346,-5.082,1520,1,"Navaluenga"
7604,"7604_PCP",40.346,-5.016,1433,1,"Navaluenga"
7605,"7605_PCP",40.345,-4.95,1402,1,"Navaluenga"
7606,"7606_PCP",40.345,-4.885,1342,1,"Navaluenga"
7607,"7607_PCP",40.344,-4.819,1185,1,"Navaluenga"
7608,"7608_PCP",40.343,-4.754,1045,1,"Navaluenga"
7712,"7712_PCP",40.397,-5.212,1636,1,"Navaluenga"
7713,"7713_PCP",40.397,-5.146,1601,1,"Navaluenga"
7714,"7714_PCP",40.396,-5.081,1557,1,"Navaluenga"
7715,"7715_PCP",40.396,-5.015,1505,1,"Navaluenga"
7716,"7716_PCP",40.395,-4.95,1423,1,"Navaluenga"
7717,"7717_PCP",40.395,-4.884,1295,1,"Navaluenga"
7718,"7718_PCP",40.394,-4.818,1149,1,"Navaluenga"
7719,"7719_PCP",40.393,-4.753,1071,1,"Navaluenga"
7828,"7828_PCP",40.447,-5.212,1603,1,"Navaluenga"
7829,"7829_PCP",40.447,-5.146,1618,1,"Navaluenga"
7830,"7830_PCP",40.446,-5.08,1590,1,"Navaluenga"
7831,"7831_PCP",40.446,-5.014,1551,1,"Navaluenga"
7832,"7832_PCP",40.445,-4.949,1479,1,"Navaluenga"
7833,"7833_PCP",40.445,-4.883,1347,1,"Navaluenga"
7834,"7834_PCP",40.444,-4.817,1192,1,"Navaluenga"
7835,"7835_PCP",40.443,-4.752,1081,1,"Navaluenga"
7836,"7836_PCP",40.443,-4.686,1035,1,"Navaluenga"
7946,"7946_PCP",40.496,-5.079,1569,1,"Navaluenga"
7949,"7949_PCP",40.495,-4.882,1399,1,"Navaluenga"
7950,"7950_PCP",40.494,-4.816,1332,1,"Navaluenga"
7951,"7951_PCP",40.493,-4.751,1242,1,"Navaluenga"
7952,"7952_PCP",40.492,-4.685,1135,1,"Navaluenga"
9332,"9332_PCP",41.073,-3.479,1383,2,"Matallana"
9333,"9333_PCP",41.071,-3.413,1317,2,"Matallana"
9334,"9334_PCP",41.07,-3.347,1210,2,"Matallana"
