Basins,Basin_IDs,regions,ndays,det_coefs,gwrec_cnst,alphas
Navaluenga,1,IMP,62,0.9518,-0.0201,0.9801
Navaluenga,1,IMP,90,0.9668,-0.0321,0.9684
Navaluenga,1,IMP,69,0.8052,-0.0197,0.9805
Matallana,2,IMP,21,0.9914,-0.0359,0.9647
Matallana,2,IMP,61,0.9828,-0.0545,0.9485
Matallana,2,IMP,45,0.9917,-0.045,0.9559
Villarejo de Montalban,3,IMP,20,0.9711,-0.042,0.9589
Villarejo de Montalban,3,IMP,21,0.9611,-0.0812,0.922
Villarejo de Montalban,3,IMP,38,0.9789,-0.0324,0.9681
Peralejo de las Truchas,4,CRB,201,0.9406,-0.0051,0.9949
Peralejo de las Truchas,4,CRB,188,0.9125,-0.0063,0.9937
Peralejo de las Truchas,4,CRB,101,0.9786,-0.0083,0.9918
Priego Escabas,5,CRB,125,0.9641,-0.0084,0.9916
Priego Escabas,5,CRB,135,0.8374,-0.0046,0.9954
Priego Escabas,5,CRB,159,0.8506,-0.0063,0.9937
Santa Maria del Val,6,CRB,96,0.9413,-0.011,0.9891
Santa Maria del Val,6,CRB,161,0.9644,-0.0117,0.9884
Santa Maria del Val,6,CRB,126,0.9577,-0.0171,0.9831
Jabalera,7,DTH,65,0.9426,-0.0228,0.9774
Jabalera,7,DTH,41,0.9671,-0.0499,0.9513
Jabalera,7,DTH,53,0.8966,-0.0327,0.9678
Huete,8,DTH,73,0.8991,-0.0172,0.9829
Huete,8,DTH,61,0.9052,-0.0227,0.9776
Huete,8,DTH,61,0.8612,-0.0276,0.9728
Torote,9,DTH,74,0.8786,-0.0281,0.9723
Torote,9,DTH,35,0.8526,-0.0405,0.9603
Torote,9,DTH,30,0.935,-0.0479,0.9533
La Pueblanueva,10,DTH,29,0.854,-0.0348,0.9658
La Pueblanueva,10,DTH,33,0.9408,-0.0413,0.9596
La Pueblanueva,10,DTH,29,0.9887,-0.0831,0.9202
Ventosa,11,DTL,103,0.8605,-0.0079,0.9921
Ventosa,11,DTL,89,0.9322,-0.0071,0.9929
Ventosa,11,DTL,45,0.9158,-0.0097,0.9903
La Peraleja,12,DTL,89,0.9117,-0.0342,0.9663
La Peraleja,12,DTL,61,0.9234,-0.0485,0.9526
La Peraleja,12,DTL,25,0.8973,-0.081,0.9222
Villasequilla de Yepes,13,DTL,139,0.915,-0.0093,0.9907
Villasequilla de Yepes,13,DTL,86,0.8486,-0.0132,0.9869
Villasequilla de Yepes,13,DTL,77,0.8655,-0.014,0.9861
Valverde de los Arroyos,14,MIX,41,0.9836,-0.0459,0.9551
Valverde de los Arroyos,14,MIX,38,0.987,-0.0753,0.9274
Valverde de los Arroyos,14,MIX,55,0.9627,-0.0472,0.9539
Malpica,15,MIX,19,0.9508,-0.0617,0.9401
Malpica,15,MIX,55,0.948,-0.0343,0.9663
Malpica,15,MIX,25,0.9705,-0.1019,0.9032
Taravillas,16,MIX,75,0.9333,-0.0141,0.986
Taravillas,16,MIX,109,0.9575,-0.0081,0.9919
Taravillas,16,MIX,71,0.8538,-0.012,0.988
Romanones,17,MIX,103,0.9285,-0.0059,0.9941
Romanones,17,MIX,122,0.8779,-0.0099,0.9901
Romanones,17,MIX,69,0.9419,-0.008,0.9921
Priego Trabraque,18,MIX,131,0.953,-0.0145,0.9856
Priego Trabraque,18,MIX,72,0.8021,-0.012,0.9881
Priego Trabraque,18,MIX,67,0.9224,-0.0167,0.9834
Bujalaro,19,MIX,37,0.8518,-0.0127,0.9874
Bujalaro,19,MIX,94,0.9569,-0.0117,0.9884
Bujalaro,19,MIX,72,0.9624,-0.011,0.9891
