Basin,Basin_ID,region,alpha,BFImax,BF_Rate
Navaluenga,1,IMP,0.975,0.25,0.24
Matallana,2,IMP,0.965,0.2,0.19
Villarejo de Montalban,3,IMP,0.951,0.25,0.24
Peralejo de las Truchas,4,CRB,0.992,0.55,0.51
Priego Escabas,5,CRB,0.995,0.65,0.58
Santa Maria del Val,6,CRB,0.99,0.55,0.44
Jabalera,7,DTAL,0.985,0.4,0.35
Huete,8,DTAL,0.995,0.55,0.44
Torote,9,DTAL,0.98,0.45,0.37
La Pueblanueva,10,DTAL,0.98,0.5,0.41
Ventosa,11,DTBJ,0.99,0.45,0.44
La Peraleja,12,DTBJ,0.985,0.4,0.32
Villasequilla de Yepes,13,DTBJ,0.998,0.4,0.28
Valverde de los Arroyos,14,MIX,0.985,0.25,0.21
Malpica,15,MIX,0.98,0.25,0.2
Taravillas,16,MIX,0.992,0.55,0.51
Romanones,17,MIX,0.995,0.3,0.28
Priego Trabraque,18,MIX,0.995,0.5,0.38
Bujalaro,19,MIX,0.995,0.45,0.42
